month,country,channel,spend_eur,impressions,clicks
2024-08-01,Cyprus,social,9736.2,1022072,17666
2024-08-01,Cyprus,affiliate,7636.42,698514,20569
2024-08-01,Cyprus,display,4605.19,713127,13841
2024-08-01,Serbia,paid_search,11314.07,953706,27026
2024-08-01,Serbia,social,8601.33,1320129,29092
2024-08-01,Serbia,affiliate,4356.12,289869,7824
2024-08-01,Serbia,display,6235.17,745743,21419
2024-09-01,Cyprus,paid_search,10063.44,1119267,18472
2024-09-01,Cyprus,social,9500.57,1267857,26858
2024-09-01,Cyprus,affiliate,9770.56,687129,13315
2024-09-01,Cyprus,display,3710.66,470082,7083
2024-09-01,Serbia,paid_search,7330.02,804225,12663
2024-09-01,Serbia,social,10520.92,1644978,59343
2024-09-01,Serbia,affiliate,13886.16,1207524,54172
2024-09-01,Serbia,display,9664.67,979788,26654
2024-10-01,Cyprus,paid_search,4517.52,704186,19040
2024-10-01,Cyprus,social,3346.63,483701,10748
2024-10-01,Cyprus,affiliate,3113.96,441581,6176
2024-10-01,Cyprus,display,5508.5,844544,33093
2024-10-01,Serbia,paid_search,4388.53,668414,20768
2024-10-01,Serbia,social,9520.94,944409,36076
2024-10-01,Serbia,affiliate,11062.18,1636594,55850
2024-10-01,Serbia,display,12773.6,1515456,44337
2024-11-01,Cyprus,paid_search,6872.16,942881,32739
2024-11-01,Cyprus,social,5295.51,534256,13912
2024-11-01,Cyprus,affiliate,6375.32,846153,14370
2024-11-01,Cyprus,display,7047.86,799772,15965
2024-11-01,Serbia,paid_search,16841.17,1483800,36730
2024-11-01,Serbia,social,11253.32,1264212,34421
2024-11-01,Serbia,affiliate,19592.18,2439430,51182
2024-11-01,Serbia,display,12522.92,1131981,17490
2024-12-01,Cyprus,paid_search,5815.93,464012,11608
2024-12-01,Cyprus,social,14610.08,2221504,49361
2024-12-01,Cyprus,affiliate,5279.32,757229,18369
2024-12-01,Cyprus,display,13089.88,1546981,39910
2024-12-01,Serbia,paid_search,10193.55,1624993,68711
2024-12-01,Serbia,social,11052.58,1116401,28038
2024-12-01,Serbia,affiliate,7961.48,785744,29636
2024-12-01,Serbia,display,18605.38,1658962,44474
2025-01-01,Cyprus,paid_search,9839.98,846744,37676
2025-01-01,Cyprus,social,5768.62,798792,19057
2025-01-01,Cyprus,affiliate,9313.33,780368,32246
2025-01-01,Cyprus,display,9747.39,1431634,39507
2025-01-01,Serbia,paid_search,5258.78,789147,15032
2025-01-01,Serbia,social,9720.9,696488,20989
2025-01-01,Serbia,affiliate,4484.85,716355,29099
2025-01-01,Serbia,display,8058.43,892438,37441
2025-02-01,Cyprus,paid_search,7314.62,965503,26459
2025-02-01,Cyprus,social,9517.28,1167959,25506
2025-02-01,Cyprus,affiliate,8834.3,618660,14950
2025-02-01,Cyprus,display,7289.92,679846,9016
2025-02-01,Serbia,paid_search,12462.23,1670955,68724
2025-02-01,Serbia,social,11546.73,1795821,44431
2025-02-01,Serbia,affiliate,10003.99,1151932,36067
2025-02-01,Serbia,display,5309.9,842168,26502
2025-03-01,Cyprus,paid_search,8093.15,860401,15643
2025-03-01,Cyprus,social,9585.74,1369874,39432
2025-03-01,Cyprus,affiliate,10760.68,727276,17142
2025-03-01,Cyprus,display,7285.16,916605,31533
2025-03-01,Serbia,paid_search,9624.56,1326456,29215
2025-03-01,Serbia,social,6737.26,939625,35807
2025-03-01,Serbia,affiliate,5924.03,934962,29463
2025-03-01,Serbia,display,9908.3,723332,10430
2025-04-01,Cyprus,paid_search,10788.32,1003173,19963
2025-04-01,Cyprus,social,8929.79,1234795,46557
2025-04-01,Cyprus,affiliate,10244.2,1125435,48233
2025-04-01,Cyprus,display,6167.49,789546,35680
2025-04-01,Serbia,paid_search,4508,633394,12873
2025-04-01,Serbia,social,5138.14,610392,11214
2025-04-01,Serbia,affiliate,6299.98,717910,11684
2025-04-01,Serbia,display,13375.91,2003721,24204
2025-05-01,Cyprus,paid_search,7386.93,1014431,29070
2025-05-01,Cyprus,social,7547.3,1071649,37847
2025-05-01,Cyprus,affiliate,4484.77,640921,18624
2025-05-01,Cyprus,display,4834.49,571419,13396
2025-05-01,Serbia,paid_search,11158.18,1430843,61960
2025-05-01,Serbia,social,13174.94,1152386,45590
2025-05-01,Serbia,affiliate,13608.74,1659745,25925
2025-05-01,Serbia,display,11133.76,878833,34129
2025-06-01,Cyprus,paid_search,4024.39,263293,11555
2025-06-01,Cyprus,social,9083.38,691169,24240
2025-06-01,Cyprus,affiliate,10658.73,704430,22926
2025-06-01,Cyprus,display,10920.89,1410435,33661
2025-06-01,Serbia,paid_search,7359.43,783078,28559
2025-06-01,Serbia,social,4774.69,383779,14658
2025-06-01,Serbia,affiliate,10381.96,855086,29606
2025-06-01,Serbia,display,5710.67,557318,14091
2025-07-01,Cyprus,paid_search,8594.21,1005940,19753
2025-07-01,Cyprus,social,4170.55,411508,10228
2025-07-01,Cyprus,affiliate,7122.14,1129689,50928
2025-07-01,Cyprus,display,5927.45,695864,16344
2025-07-01,Serbia,paid_search,11160.09,787823,18942
2025-07-01,Serbia,social,13877.47,1496898,36812
2025-07-01,Serbia,affiliate,4388.79,695853,25714
2025-07-01,Serbia,display,5542.33,460455,10829
2025-08-01,Cyprus,paid_search,8952.56,1002624,36839
2025-08-01,Cyprus,social,9703.85,758904,29888
2025-08-01,Cyprus,affiliate,3809.06,331722,13705
2025-08-01,Cyprus,display,3924.84,361605,5170
2025-08-01,Serbia,paid_search,4307.83,542129,8329
2025-08-01,Serbia,social,5817.97,421243,14259
2025-08-01,Serbia,affiliate,6408.73,919865,24669
2025-08-01,Serbia,display,9280.35,931407,27568
2025-09-01,Cyprus,paid_search,5077.8,481608,14922
2025-09-01,Cyprus,social,5651.07,537445,22721
2025-09-01,Cyprus,affiliate,4224.84,439058,6023
2025-09-01,Cyprus,display,3832.59,321453,9018
2025-09-01,Serbia,paid_search,4994.96,446758,12176
2025-09-01,Serbia,social,11417.02,1626661,43156
2025-09-01,Serbia,affiliate,11154.44,753839,14610
2025-09-01,Serbia,display,5851.36,727384,13238
2025-10-01,Cyprus,paid_search,8064.99,671043,14858
2025-10-01,Cyprus,social,6997.84,492746,18643
2025-10-01,Cyprus,affiliate,9514.4,635092,22827
2025-10-01,Cyprus,display,9512.99,1358331,31637
2025-10-01,Serbia,paid_search,7673.74,744759,9166
2025-10-01,Serbia,social,9703.18,1539341,29250
2025-10-01,Serbia,affiliate,11584.55,1701222,67345
2025-10-01,Serbia,display,10426,798743,11559
2025-11-01,Cyprus,paid_search,8635.4,1332655,51997
2025-11-01,Cyprus,social,13728.36,1877132,51605
2025-11-01,Cyprus,affiliate,13289.97,1046305,41475
2025-11-01,Cyprus,display,9859.94,805637,15707
2025-11-01,Serbia,paid_search,16967.44,2076507,89520
2025-11-01,Serbia,social,18653.24,1245805,29284
2025-11-01,Serbia,affiliate,9115.35,664668,29539
2025-11-01,Serbia,display,7624.19,628155,17628
2025-12-01,Cyprus,paid_search,10557.82,1163576,23710
2025-12-01,Cyprus,social,10175.92,1387113,29052
2025-12-01,Cyprus,affiliate,8507.18,764008,30328
2025-12-01,Cyprus,display,12097.35,1256252,29526
2025-12-01,Serbia,paid_search,11276.5,1355539,23614
2025-12-01,Serbia,social,15528.18,2229261,95606
2025-12-01,Serbia,affiliate,14513.25,1643563,22569
2025-12-01,Serbia,display,10372.55,949153,23110
