order_id,order_date,customer_id,store_id,country,sales_channel,order_status,payment_method,gross_amount_eur,discount_amount_eur,net_amount_eur
O0000043,2024-10-20,C005183,,Serbia,marketplace,completed,card,1308.22,103.15,1205.07
O0000044,2023-04-16,C003874,S004,Serbia,store,completed,cash,240.8,0,240.8
O0000045,2025-12-31,C006773,S011,Cyprus,store,completed,cash,46.59,0,46.59
O0000046,2023-06-28,C006026,,Serbia,mobile_app,completed,card,34.07,0.24,33.83
O0000047,2025-05-05,C002906,,Cyprus,marketplace,cancelled,card,261.72,0,261.72
O0000048,2025-12-01,C006316,,Serbia,web,completed,wallet,119.29,4.98,114.31
O0000049,2024-08-31,C008958,,Cyprus,web,completed,card,389.62,0,389.62
O0000050,2023-03-17,C004267,,Cyprus,web,completed,bank_transfer,747.24,29.46,717.78
O0000051,2023-03-31,C011215,,Serbia,marketplace,completed,card,343.37,0,343.37
O0000052,2023-12-10,C010261,,Serbia,mobile_app,completed,wallet,168.15,2.67,165.48
O0000053,2024-08-04,C001017,,Cyprus,web,completed,card,392.04,0,392.04
O0000054,2025-12-17,C003014,,Serbia,web,completed,card,367.15,0,367.15
O0000055,2023-06-06,C006172,,Cyprus,mobile_app,completed,card,152.43,1.36,151.07
O0000056,2025-10-27,C001428,,Serbia,web,completed,card,46.23,0.46,45.77
O0000057,2023-03-29,C001116,,Cyprus,web,completed,card,520.27,11.65,508.62
O0000058,2025-06-28,C004428,,Cyprus,web,completed,card,672.35,13.45,658.9
O0000059,2024-11-08,C005702,,Serbia,web,completed,card,745.57,62.5,683.07
O0000060,2024-09-15,C010128,S014,Serbia,store,cancelled,card,83.12,0,83.12
O0000061,2023-09-25,C009476,,Serbia,mobile_app,completed,card,483.08,7.3,475.78
O0000062,2025-11-02,C005666,,Serbia,web,completed,card,185.26,0,185.26
O0000063,2025-09-22,C003205,,Cyprus,web,completed,wallet,261.72,10.47,251.25
O0000064,2024-11-15,C002771,,Serbia,marketplace,completed,wallet,163.07,0,163.07
O0000065,2024-03-09,C008856,S002,Serbia,store,completed,card,161.54,0.8,160.74
O0000066,2025-12-27,C008518,,Serbia,web,completed,card,359.25,0,359.25
O0000067,2024-03-06,C007929,,Serbia,mobile_app,completed,card,301.09,0,301.09
O0000068,2024-08-26,C001467,S003,Serbia,store,completed,card,300.5,0,300.5
O0000069,2023-06-05,C000769,,Serbia,marketplace,completed,card,111.39,0,111.39
O0000070,2023-12-07,C001019,,Serbia,mobile_app,cancelled,wallet,234,1.3,232.7
O0000071,2024-07-21,C003955,S005,Serbia,store,completed,cash,442.34,6.64,435.7
O0000072,2025-12-12,C002184,S006,Cyprus,store,cancelled,cash,153.56,0,153.56
O0000073,2024-09-11,C004799,,Cyprus,web,completed,card,1718.12,17.18,1700.94
O0000074,2023-08-12,C002356,,Cyprus,web,completed,card,76.61,0.15,76.46
O0000075,2024-04-26,C001692,S010,Serbia,store,completed,card,62.47,0,62.47
O0000076,2024-12-21,C004371,S001,Cyprus,store,completed,card,118.08,3.54,114.54
O0000077,2025-08-16,C000917,,Serbia,mobile_app,completed,card,396.93,0,396.93
O0000078,2025-11-07,C000071,S008,Cyprus,store,completed,card,272.73,0,272.73
O0000079,2024-12-10,C002428,,Serbia,marketplace,cancelled,wallet,230.03,6.7,223.33
O0000080,2023-06-30,C006460,S005,Serbia,store,completed,wallet,360.43,33.93,326.5
O0000081,2025-07-28,C011886,,Cyprus,marketplace,completed,card,158.09,0,158.09
O0000082,2025-10-09,C007020,S010,Serbia,store,completed,card,195.89,6.07,189.82
O0000083,2025-11-13,C006048,,Serbia,marketplace,completed,card,257.23,38.96,218.27
O0000084,2023-07-15,C003437,,Serbia,mobile_app,completed,card,267.24,0.64,266.6
O0000085,2023-05-11,C008636,,Cyprus,web,refunded,card,212.16,1.6,210.56
O0000086,2024-09-22,C006374,,Serbia,web,cancelled,card,77.71,5.44,72.27
O0000087,2025-11-02,C006607,S009,Cyprus,store,completed,wallet,83.29,0,83.29
O0000088,2025-11-26,C005021,S012,Serbia,store,completed,cash,367.37,18.37,349
O0000089,2025-10-08,C004569,,Serbia,web,completed,card,182.59,0,182.59
O0000090,2024-01-08,C009726,,Cyprus,web,completed,card,322.82,0,322.82
O0000091,2025-06-30,C008023,,Cyprus,mobile_app,completed,wallet,990.47,2.1,988.37
O0000092,2025-04-07,C010270,,Cyprus,web,completed,card,86.85,5.21,81.64
O0000093,2023-02-22,C001817,S013,Cyprus,store,completed,cash,278.33,10.14,268.19
O0000094,2025-09-23,C000813,,Cyprus,web,refunded,card,90.61,1.03,89.58
O0000095,2024-11-03,C011917,S007,Cyprus,store,completed,card,25,1.4,23.6
O0000096,2023-07-26,C007417,,Serbia,web,completed,card,626.6,25.43,601.17
O0000097,2023-11-03,,,Serbia,mobile_app,completed,card,332.49,0.39,332.1
O0000098,2025-03-07,C004471,S017,Cyprus,store,completed,card,158.24,5.77,152.47
O0000099,2023-11-15,,,Serbia,marketplace,completed,card,62.37,0,62.37
O0000100,2024-06-23,C009406,,Cyprus,marketplace,completed,card,660.4,0,660.4
O0000101,2025-09-09,C000304,,Serbia,mobile_app,completed,bank_transfer,272.88,4.73,268.15
O0000102,2025-03-26,C002847,S013,Cyprus,store,completed,card,64.01,0,64.01
O0000103,2023-12-11,C002071,,Cyprus,mobile_app,completed,card,132.55,0,132.55
O0000104,2024-11-04,C011383,,Serbia,web,completed,card,1013.9,2.47,1011.43
O0000105,2024-08-17,C003077,S005,Serbia,store,completed,cash,709.98,28.01,681.97
O0000106,2025-04-24,C000702,,Serbia,web,completed,card,90.21,5.59,84.62
O0000107,2024-05-06,C000990,,Serbia,web,completed,card,334.39,0,334.39
O0000108,2025-06-16,C001383,S012,Serbia,store,completed,wallet,826.2,16.68,809.52
O0000109,2023-01-11,C006967,S005,Serbia,store,cancelled,card,53.02,0,53.02
O0000110,2024-04-17,C005341,,Serbia,mobile_app,cancelled,wallet,13.35,0,13.35
O0000111,2024-01-06,C004872,,Serbia,web,completed,card,230.05,7.81,222.24
O0000112,2024-04-06,C008685,,Cyprus,web,completed,card,834.7,0,834.7
O0000113,2025-02-07,C003573,,Cyprus,web,completed,card,226.54,0,226.54
O0000114,2023-04-08,C001059,,Cyprus,mobile_app,completed,card,568.77,22.75,546.02
O0000115,2023-06-22,C004620,,Cyprus,web,completed,card,52.84,0,52.84
O0000116,2024-09-10,C003520,,Serbia,marketplace,completed,card,26.54,0,26.54
O0000117,2024-05-21,C007903,,Serbia,web,completed,card,80.98,0,80.98
O0000118,2023-12-20,C003032,,Cyprus,marketplace,completed,bank_transfer,71.4,9.28,62.12
O0000119,2023-09-29,C000077,S001,Cyprus,store,completed,cash,114.28,0,114.28
O0000120,2023-08-27,,S010,Serbia,store,completed,cash,370.51,0,370.51
O0000121,2024-08-06,C002576,,Serbia,mobile_app,completed,card,188.4,0,188.4
O0000122,2023-07-11,C008428,S008,Cyprus,store,completed,cash,164.16,4.34,159.82
O0000123,2023-12-27,C008497,S008,Cyprus,store,completed,wallet,279.65,0,279.65
O0000124,2025-03-19,,S011,Cyprus,store,completed,cash,84.37,0,84.37
O0000125,2023-05-07,C010525,S003,Serbia,store,completed,cash,585.03,14.21,570.82
O0000126,2023-08-06,C008808,,Cyprus,marketplace,completed,card,915.23,38.86,876.37
O0000127,2025-03-23,C006386,,Serbia,marketplace,completed,wallet,131.09,0,131.09
O0000128,2023-01-07,C003780,S018,Cyprus,store,completed,cash,284.96,5.31,279.65
O0000129,2023-02-27,C002832,S007,Cyprus,store,completed,card,404.84,11.16,393.68
O0000130,2024-05-11,C008258,,Cyprus,web,completed,bank_transfer,310.17,9.59,300.58
O0000131,2023-06-07,C004583,S016,Serbia,store,completed,cash,9.98,0,9.98
O0000132,2024-10-30,C009839,,Serbia,web,completed,bank_transfer,483.94,0.25,483.69
O0000133,2025-10-19,C006461,,Serbia,web,completed,card,44.98,3.6,41.38
O0000134,2023-08-09,C001510,,Serbia,mobile_app,completed,wallet,471.12,0,471.12
O0000135,2024-10-19,C004943,,Serbia,mobile_app,completed,wallet,319.94,3.9,316.04
O0000136,2024-12-19,C006536,,Serbia,mobile_app,completed,card,59.65,0,59.65
O0000137,2024-09-20,C008203,,Serbia,web,completed,card,150.25,0,150.25
O0000138,2024-07-26,C001375,S003,Serbia,store,completed,card,57.99,2.79,55.2
O0000139,2024-10-02,C005585,,Serbia,marketplace,refunded,card,263.49,0.78,262.71
O0000140,2023-04-28,C000417,,Cyprus,marketplace,completed,card,486.63,36.63,450
O0000141,2024-05-26,C011569,,Cyprus,web,completed,card,91.49,0,91.49
O0000142,2025-08-01,C011534,S007,Cyprus,store,completed,card,73.95,0,73.95
O0000143,2024-05-13,C003717,,Serbia,mobile_app,completed,card,484.24,12.94,471.3
O0000144,2025-04-18,C006340,,Cyprus,web,completed,card,10.2,0.41,9.79
O0000145,2025-08-22,C004154,S014,Serbia,store,completed,card,72.89,0,72.89
O0000146,2025-10-30,C001826,S015,Cyprus,store,completed,wallet,161.85,0,161.85
O0000147,2025-12-23,C004276,S003,Serbia,store,completed,card,305.38,6.47,298.91
O0000148,2023-08-13,C002864,,Serbia,mobile_app,cancelled,card,429.39,3.6,425.79
O0000149,2024-03-01,C011409,S012,Serbia,store,completed,card,215,10.51,204.49
O0000150,2025-05-30,C007442,,Serbia,mobile_app,completed,card,36.99,0,36.99
O0000151,2023-10-28,C011047,,Cyprus,web,completed,card,385.94,19.3,366.64
O0000152,2023-09-27,C009692,S015,Cyprus,store,completed,card,136.84,3.27,133.57
O0000153,2025-05-15,,,Cyprus,web,completed,card,567.45,21.27,546.18
O0000154,2024-06-11,C005336,,Serbia,web,completed,card,88.36,5.3,83.06
O0000155,2023-12-26,C008092,,Serbia,mobile_app,refunded,card,96.4,0,96.4
O0000156,2023-11-23,C007563,S018,Cyprus,store,completed,card,38.2,1.06,37.14
O0000157,2025-03-16,C005347,,Serbia,mobile_app,completed,card,1490.7,21.54,1469.16
O0000158,2023-08-12,C008047,,Cyprus,marketplace,refunded,card,254.73,8.01,246.72
O0000159,2025-12-31,C010097,,Cyprus,web,completed,card,198.26,0.87,197.39
O0000160,2024-06-21,C005347,,Cyprus,mobile_app,refunded,card,70.14,0,70.14
O0000161,2024-04-28,C007489,,Serbia,mobile_app,completed,wallet,170.37,5.17,165.2
O0000162,2024-01-13,C004591,S003,Serbia,store,completed,card,185.38,0,185.38
O0000163,2025-08-07,C002071,,Cyprus,mobile_app,completed,bank_transfer,275.2,0.46,274.74
O0000164,2023-11-02,C009963,,Cyprus,web,completed,card,121.61,2.63,118.98
O0000165,2023-03-15,C002896,,Serbia,mobile_app,completed,card,8.5,0.77,7.73
O0000166,2023-06-17,C010199,S013,Cyprus,store,completed,cash,47.83,0,47.83
O0000167,2023-07-15,C002765,,Serbia,web,completed,card,252.03,3.3,248.73
O0000168,2025-12-24,C010655,,Cyprus,web,completed,card,594.2,0,594.2
O0000169,2025-04-19,C010517,,Serbia,web,completed,card,11.48,0.92,10.56
O0000170,2024-12-09,C009531,,Serbia,mobile_app,completed,card,18.43,0.18,18.25
O0000171,2024-07-30,,,Cyprus,web,completed,card,36.31,0,36.31
O0000172,2024-03-20,C008584,,Cyprus,mobile_app,completed,card,93.48,0,93.48
O0000173,2023-11-11,C000412,S017,Cyprus,store,completed,card,1062.97,8.24,1054.73
O0000174,2023-05-11,C003631,,Serbia,web,completed,card,612.49,4.21,608.28
O0000175,2023-08-01,C011685,,Serbia,mobile_app,completed,wallet,80.25,0.86,79.39
O0000176,2025-09-14,C002603,,Serbia,mobile_app,refunded,card,733.27,0,733.27
O0000177,2024-01-08,C009937,S006,Cyprus,store,completed,card,102.7,0.13,102.57
O0000178,2024-02-05,C003565,S009,Cyprus,store,completed,card,200.52,0,200.52
O0000179,2024-12-10,C007846,S006,Cyprus,store,cancelled,cash,36.71,3.67,33.04
O0000180,2024-12-16,C011136,,Serbia,web,completed,card,47.03,2.82,44.21
O0000181,2023-07-10,C005127,,Serbia,mobile_app,completed,wallet,259.23,11.99,247.24
O0000182,2024-10-01,C002993,,Cyprus,marketplace,completed,card,610.41,4.26,606.15
O0000183,2023-04-20,C005294,,Serbia,marketplace,completed,wallet,377.8,11.29,366.51
O0000184,2025-04-15,C010846,,Serbia,web,completed,bank_transfer,93.78,0.67,93.11
O0000185,2025-08-11,,S014,Serbia,store,completed,card,1249.66,83.4,1166.26
O0000186,2023-03-15,C008006,,Cyprus,web,completed,card,505.64,22.22,483.42
O0000187,2024-06-02,C009557,,Cyprus,marketplace,completed,card,12.85,0,12.85
O0000188,2025-09-27,C006211,,Cyprus,mobile_app,completed,card,87.95,1.16,86.79
O0000189,2023-10-25,C011470,S005,Serbia,store,completed,card,63.41,1.27,62.14
O0000190,2025-02-02,C007043,,Serbia,web,completed,card,419.97,9.75,410.22
O0000191,2023-07-17,C004277,,Serbia,mobile_app,completed,card,15.5,0,15.5
O0000192,2024-09-23,C001183,,Cyprus,web,completed,card,1381.92,117.02,1264.9
O0000193,2023-11-07,C010100,,Serbia,mobile_app,completed,card,409.23,0,409.23
O0000194,2023-11-17,C003716,,Serbia,web,completed,wallet,196.78,0,196.78
O0000195,2023-11-11,C011605,,Cyprus,web,completed,card,394.81,2.49,392.32
O0000196,2024-10-31,C006427,,Serbia,web,completed,card,82.8,0,82.8
O0000197,2023-12-26,C007424,S017,Cyprus,store,completed,card,552.89,8.01,544.88
O0000198,2025-12-06,C004007,S012,Serbia,store,completed,card,782.73,0,782.73
O0000199,2025-12-05,C004975,,Cyprus,web,completed,card,282.73,0,282.73
O0000200,2023-12-11,C000702,,Cyprus,mobile_app,completed,card,273.21,0,273.21
O0000201,2024-04-15,C006259,,Serbia,marketplace,completed,card,457.92,0,457.92
O0000202,2024-03-17,C000021,,Serbia,web,completed,card,248.68,0,248.68
O0000203,2023-11-24,C003992,,Serbia,marketplace,completed,card,268.38,0,268.38
O0000204,2024-11-08,C004483,,Cyprus,mobile_app,completed,card,90.2,1.8,88.4
O0000205,2023-05-12,C008003,S005,Serbia,store,completed,cash,336.42,17.93,318.49
O0000206,2023-03-27,C004674,S016,Serbia,store,completed,cash,15.5,0.24,15.26
O0000207,2025-03-30,C002359,,Cyprus,web,completed,card,50.01,1.43,48.58
O0000208,2023-12-24,C004434,S004,Serbia,store,refunded,cash,170.84,29.04,141.8
O0000209,2025-12-09,C011748,,Cyprus,web,completed,card,494.74,0,494.74
O0000210,2023-11-17,C010606,S006,Cyprus,store,completed,cash,743.52,116.91,626.61
O0000211,2023-10-11,C000284,,Serbia,web,refunded,card,18.16,0,18.16
O0000212,2025-09-25,C010064,,Serbia,marketplace,completed,card,11.87,0,11.87
O0000213,2024-12-26,C009570,,Cyprus,web,completed,card,7.99,0.88,7.11
O0000214,2023-12-25,C009831,,Cyprus,mobile_app,cancelled,card,45.66,7.76,37.9
O0000215,2023-02-20,C010695,,Serbia,marketplace,completed,bank_transfer,9.47,0,9.47
O0000216,2024-06-08,C005036,S006,Cyprus,store,completed,card,759.52,32.34,727.18
O0000217,2023-04-26,C002562,,Serbia,web,completed,card,845.7,69.98,775.72
O0000218,2024-02-20,C002338,S012,Serbia,store,completed,cash,630.82,13.68,617.14
O0000219,2024-07-07,C009893,S010,Serbia,store,completed,cash,144.31,7.32,136.99
O0000220,2024-12-13,C010980,,Serbia,marketplace,completed,wallet,75.94,0,75.94
O0000221,2025-06-18,C006615,,Cyprus,web,completed,card,3.44,0.31,3.13
O0000222,2024-01-22,C004967,,Serbia,mobile_app,completed,card,17.44,0,17.44
O0000223,2024-11-16,C009931,,Cyprus,web,completed,card,83.7,0,83.7
O0000224,2025-01-02,C007523,S005,Serbia,store,completed,cash,84.59,5.49,79.1
O0000225,2023-12-16,C011173,,Cyprus,web,completed,bank_transfer,685.89,27.31,658.58
O0000226,2024-09-24,C011138,,Serbia,web,completed,card,113.07,0,113.07
O0000227,2024-08-25,C008393,,Cyprus,marketplace,completed,wallet,546.68,43.73,502.95
O0000228,2025-12-25,C006788,S016,Serbia,store,completed,card,280.23,2.7,277.53
O0000229,2025-05-05,C008749,,Serbia,marketplace,completed,wallet,62.92,3.78,59.14
O0000230,2024-02-28,C005496,,Serbia,marketplace,completed,wallet,81.98,0,81.98
O0000231,2023-06-27,C007305,S001,Cyprus,store,completed,card,75.04,0.94,74.1
O0000232,2023-01-20,C007663,,Serbia,mobile_app,completed,card,427.42,6.99,420.43
O0000233,2024-05-31,C002902,,Cyprus,marketplace,completed,card,544.79,9.02,535.77
O0000234,2023-08-27,C004790,,Serbia,web,completed,wallet,34.41,1.13,33.28
O0000235,2025-07-29,C011828,,Cyprus,web,completed,card,101.05,4.1,96.95
O0000236,2025-12-09,C002841,,Cyprus,web,completed,card,293.66,0,293.66
O0000237,2025-12-04,C008767,,Serbia,web,completed,wallet,128.64,0,128.64
O0000238,2023-12-02,C009936,,Serbia,web,completed,bank_transfer,418.54,62.78,355.76
O0000239,2024-06-04,C004574,,Serbia,web,completed,wallet,364.61,0.82,363.79
O0000240,2025-01-08,C006252,,Serbia,web,completed,card,970.16,13.24,956.92
O0000241,2024-12-16,C008742,,Cyprus,web,completed,card,64.96,0,64.96
O0000242,2024-09-27,C002890,,Serbia,web,completed,card,71.34,0,71.34
O0000243,2023-11-17,C007329,,Serbia,web,completed,card,683.13,116.13,567
O0000244,2024-03-12,C010407,,Serbia,mobile_app,completed,card,548.67,0,548.67
O0000245,2024-11-02,C007018,,Serbia,mobile_app,completed,wallet,71.35,0,71.35
O0000246,2023-07-23,C007283,,Serbia,web,completed,card,734.73,36.74,697.99
O0000247,2025-09-24,C005233,,Serbia,web,completed,card,885.74,0,885.74
O0000248,2024-06-26,C008072,S012,Serbia,store,completed,cash,117.86,0,117.86
O0000249,2024-06-13,C011775,,Serbia,mobile_app,completed,card,65.79,0,65.79
O0000250,2024-01-08,C004018,S017,Cyprus,store,completed,card,411.53,4.32,407.21
O0000251,2024-04-02,C004295,,Serbia,web,completed,card,69.65,0,69.65
O0000252,2024-12-17,C009136,,Serbia,web,completed,card,201.62,0,201.62
O0000253,2025-11-22,C011949,S012,Serbia,store,completed,cash,114.24,0,114.24
O0000254,2024-11-04,C000811,S001,Cyprus,store,completed,wallet,30.6,0,30.6
O0000255,2023-02-26,C006721,,Cyprus,web,completed,card,5.63,0.56,5.07
O0000256,2025-03-06,C003801,,Cyprus,web,completed,card,583.32,41.62,541.7
O0000257,2024-03-04,C003085,,Serbia,web,completed,card,18.26,1.1,17.16
O0000258,2024-06-03,C008309,,Serbia,web,refunded,wallet,10.5,0.95,9.55
O0000259,2025-01-06,C007147,,Serbia,web,completed,wallet,157.1,0,157.1
O0000260,2023-06-11,C000862,,Serbia,web,completed,card,816.15,23.03,793.12
O0000261,2023-12-17,C003152,,Serbia,web,completed,wallet,165.48,0,165.48
O0000262,2023-06-24,C002040,,Cyprus,web,completed,wallet,125.11,0,125.11
O0000263,2025-10-14,C004328,,Serbia,marketplace,completed,card,89.15,0,89.15
O0000264,2023-05-24,C002160,,Cyprus,mobile_app,refunded,card,125.51,2.51,123
O0000265,2024-02-08,C000962,,Cyprus,mobile_app,completed,card,351.63,0,351.63
O0000266,2023-08-17,C005422,,Cyprus,mobile_app,completed,card,27.3,0,27.3
O0000267,2023-01-31,C011789,S005,Serbia,store,completed,card,479.86,1.1,478.76
O0000268,2023-08-16,C010004,,Cyprus,mobile_app,completed,bank_transfer,144.89,1.73,143.16
O0000269,2025-09-18,C003955,,Cyprus,marketplace,completed,card,136.57,9.56,127.01
O0000270,2023-12-28,C001193,,Cyprus,mobile_app,cancelled,card,355.44,35.54,319.9
O0000271,2024-01-29,C008712,,Serbia,web,completed,card,9.72,0,9.72
O0000272,2025-03-19,C006355,,Serbia,mobile_app,completed,card,1078.19,0,1078.19
O0000273,2024-10-24,C008052,S003,Serbia,store,completed,card,1773.8,128.53,1645.27
O0000274,2024-12-24,C009172,S001,Cyprus,store,completed,card,553.81,15.45,538.36
O0000275,2023-02-04,C002130,,Serbia,mobile_app,completed,card,12.78,0.38,12.4
O0000276,2024-09-22,C011346,,Cyprus,web,completed,card,39.87,0,39.87
O0000277,2023-04-30,C002475,,Serbia,mobile_app,completed,card,164.95,0,164.95
O0000278,2024-04-14,C010714,,Serbia,marketplace,completed,card,223.24,0,223.24
O0000279,2023-11-23,C002492,,Cyprus,web,completed,wallet,11.29,0,11.29
O0000280,2024-06-06,C005976,,Cyprus,marketplace,completed,card,23.92,1.67,22.25
O0000281,2024-12-09,C000488,S015,Cyprus,store,refunded,card,248.26,0,248.26
O0000282,2025-08-17,C001997,,Serbia,web,cancelled,card,80.25,0,80.25
O0000283,2023-07-12,C008898,,Serbia,web,completed,card,553.09,20.17,532.92
O0000284,2024-07-25,C005554,,Cyprus,mobile_app,completed,card,62.4,0,62.4
O0000285,2025-12-22,C004693,,Serbia,web,completed,wallet,366.69,3.87,362.82
O0000286,2023-12-21,C007701,S012,Serbia,store,completed,card,172.78,0,172.78
O0000287,2025-12-17,C001677,,Cyprus,mobile_app,completed,card,105.06,0,105.06
O0000288,2025-11-10,C010618,,Cyprus,web,completed,card,252.6,20.92,231.68
O0000289,2024-12-02,C007519,,Serbia,web,completed,card,399.24,2.27,396.97
O0000290,2024-11-22,C003378,,Cyprus,web,completed,card,298.15,38.37,259.78
O0000291,2025-03-30,C011637,S009,Cyprus,store,completed,card,1544.69,50.96,1493.73
O0000292,2025-03-24,C002913,S018,Cyprus,store,completed,cash,138.71,6.93,131.78
O0000293,2025-11-23,C008130,,Serbia,web,completed,card,187.73,15.02,172.71
O0000294,2023-02-07,C008788,,Cyprus,web,cancelled,wallet,63.99,0,63.99
O0000295,2024-12-02,C010167,,Cyprus,mobile_app,completed,card,125.12,0.75,124.37
O0000296,2023-09-24,C010344,,Serbia,marketplace,completed,card,269.75,0,269.75
O0000297,2025-03-09,C008867,,Serbia,web,completed,card,78.71,0,78.71
O0000298,2024-07-22,C003492,S011,Cyprus,store,completed,card,10.7,0,10.7
O0000299,2024-12-12,C011476,,Cyprus,mobile_app,completed,wallet,109.73,0.27,109.46
O0000300,2025-08-10,C004750,,Cyprus,mobile_app,completed,card,20.18,0,20.18
O0000301,2025-04-12,C011937,,Serbia,web,completed,wallet,65.1,0,65.1
O0000302,2025-08-02,C002382,,Serbia,web,completed,card,231.42,18.51,212.91
O0000303,2023-09-07,C007541,S018,Cyprus,store,completed,card,1185.95,11.41,1174.54
O0000304,2024-11-13,C004669,S010,Serbia,store,completed,card,384.1,3.84,380.26
O0000305,2023-09-06,C009206,,Cyprus,web,completed,card,404.95,19.9,385.05
O0000306,2025-01-23,C006916,S018,Cyprus,store,completed,card,200.69,0,200.69
O0000307,2024-05-15,C002202,,Cyprus,marketplace,completed,card,83.98,0,83.98
O0000308,2025-08-10,C000569,S003,Serbia,store,completed,card,171.82,0,171.82
O0000309,2024-06-15,C011279,,Serbia,marketplace,completed,card,207.52,9.26,198.26
O0000310,2023-11-19,C006511,,Cyprus,mobile_app,completed,card,166.69,4.28,162.41
O0000311,2025-08-20,C005716,,Serbia,mobile_app,completed,card,1243.88,10.5,1233.38
O0000312,2025-09-16,C008942,,Cyprus,web,completed,wallet,95.81,0,95.81
O0000313,2025-07-10,C005310,,Serbia,mobile_app,completed,card,79.46,0,79.46
O0000314,2024-12-29,C011679,,Cyprus,web,completed,wallet,220.13,0,220.13
O0000315,2024-11-15,C010066,,Cyprus,mobile_app,completed,card,89.21,7.37,81.84
O0000316,2024-07-25,C003592,S010,Serbia,store,completed,card,50.06,0,50.06
O0000317,2025-04-10,C000595,S010,Serbia,store,completed,cash,202.29,9.75,192.54
O0000318,2025-07-28,C006433,,Serbia,web,completed,card,110.76,0,110.76
O0000319,2025-03-10,C005197,S018,Cyprus,store,completed,card,293.72,4.36,289.36
O0000320,2024-04-27,C001757,,Cyprus,mobile_app,completed,card,36.28,0,36.28
O0000321,2025-05-25,C003661,,Serbia,marketplace,completed,card,96.16,0,96.16
