order_item_id,order_id,product_id,quantity,unit_price_eur,discount_pct,line_net_amount_eur
I00000041,O0000026,P0230,1,235.44,0,235.44
I00000042,O0000027,P0001,1,133.44,0.03,129.44
I00000043,O0000027,P0033,1,163.6,0,163.6
I00000044,O0000028,P0092,1,7.9,0,7.9
I00000045,O0000029,P0199,1,225.22,0,225.22
I00000046,O0000030,P0222,1,10.98,0,10.98
I00000047,O0000030,P0102,1,209.07,0.14,179.8
I00000048,O0000030,P0003,1,66.5,0.18,54.53
I00000049,O0000031,P0159,1,103.63,0.09,94.3
I00000050,O0000032,P0018,3,10.37,0.07,28.93
I00000051,O0000033,P0207,1,82.03,0,82.03
I00000052,O0000033,P0032,1,52.14,0.05,49.53
I00000053,O0000034,P0039,2,18.07,0,36.14
I00000054,O0000035,P0230,1,222.38,0,222.38
I00000055,O0000035,P0216,3,56.34,0.03,163.95
I00000056,O0000035,P0114,1,114.28,0,114.28
I00000057,O0000035,P0123,1,85.12,0.07,79.16
I00000058,O0000035,P0190,1,54.16,0,54.16
I00000059,O0000036,P0147,2,72.79,0,145.58
I00000060,O0000036,P0024,1,101.39,0,101.39
I00000061,O0000037,P0103,1,98.53,0.05,93.6
I00000062,O0000037,P0192,1,26.55,0.03,25.75
I00000063,O0000038,P0238,1,77.2,0,77.2
I00000064,O0000039,P0119,1,53.76,0.04,51.61
I00000065,O0000039,P0168,3,76.19,0,228.57
I00000066,O0000040,P0168,1,77.7,0,77.7
I00000067,O0000040,P0148,2,73.42,0.05,139.5
I00000068,O0000040,P0088,1,63,0,63
I00000069,O0000041,P0208,1,66.1,0.02,64.78
I00000070,O0000041,P0211,1,268.41,0.01,265.73
I00000071,O0000041,P0147,1,70.43,0,70.43
I00000072,O0000042,P0059,1,213.89,0.01,211.75
I00000073,O0000042,P0211,1,266.74,0,266.74
I00000074,O0000043,P0163,2,130.47,0,260.94
I00000075,O0000043,P0028,3,343.83,0.1,928.34
I00000076,O0000043,P0124,1,15.79,0,15.79
I00000077,O0000044,P0118,1,240.8,0,240.8
I00000078,O0000045,P0111,1,46.59,0,46.59
I00000079,O0000046,P0046,1,6.11,0.04,5.87
I00000080,O0000046,P0025,1,16.71,0,16.71
I00000081,O0000046,P0127,1,11.25,0,11.25
I00000082,O0000047,P0132,1,261.72,0,261.72
I00000083,O0000048,P0194,1,45.29,0.11,40.31
I00000084,O0000048,P0143,1,74,0,74
I00000085,O0000049,P0200,2,194.81,0,389.62
I00000086,O0000050,P0019,2,368.26,0.04,707.06
I00000087,O0000050,P0222,1,10.72,0,10.72
I00000088,O0000051,P0041,1,85.22,0,85.22
I00000089,O0000051,P0005,3,86.05,0,258.15
I00000090,O0000052,P0157,1,88.86,0.03,86.19
I00000091,O0000052,P0188,1,59.33,0,59.33
I00000092,O0000052,P0239,1,19.96,0,19.96
I00000093,O0000053,P0173,3,127.6,0,382.8
I00000094,O0000053,P0013,1,9.24,0,9.24
I00000095,O0000054,P0112,1,105.32,0,105.32
I00000096,O0000054,P0181,1,261.83,0,261.83
I00000097,O0000055,P0056,1,135.61,0.01,134.25
I00000098,O0000055,P0025,1,16.82,0,16.82
I00000099,O0000056,P0158,3,15.41,0.01,45.77
I00000100,O0000057,P0037,1,145.6,0.08,133.95
I00000101,O0000057,P0179,1,374.67,0,374.67
I00000102,O0000058,P0098,1,672.35,0.02,658.9
I00000103,O0000059,P0219,1,177.41,0,177.41
I00000104,O0000059,P0106,1,568.16,0.11,505.66
I00000105,O0000060,P0078,1,83.12,0,83.12
I00000106,O0000061,P0079,1,20.81,0,20.81
I00000107,O0000061,P0175,1,146.02,0.05,138.72
I00000108,O0000061,P0207,1,82.06,0,82.06
I00000109,O0000061,P0118,1,234.19,0,234.19
I00000110,O0000062,P0151,1,79.62,0,79.62
I00000111,O0000062,P0213,1,105.64,0,105.64
I00000112,O0000063,P0181,1,261.72,0.04,251.25
I00000113,O0000064,P0237,1,54.04,0,54.04
I00000114,O0000064,P0099,1,109.03,0,109.03
I00000115,O0000065,P0142,1,134.78,0,134.78
I00000116,O0000065,P0035,1,26.76,0.03,25.96
I00000117,O0000066,P0138,1,10.21,0,10.21
I00000118,O0000066,P0028,1,349.04,0,349.04
I00000119,O0000067,P0108,1,301.09,0,301.09
I00000120,O0000068,P0175,2,150.25,0,300.5
I00000121,O0000069,P0146,1,33.86,0,33.86
I00000122,O0000069,P0023,1,77.53,0,77.53
I00000123,O0000070,P0080,2,60.16,0,120.32
I00000124,O0000070,P0205,1,105.58,0,105.58
I00000125,O0000070,P0073,1,8.1,0.16,6.8
I00000126,O0000071,P0188,2,57.41,0.02,112.52
I00000127,O0000071,P0085,1,255.22,0,255.22
I00000128,O0000071,P0115,1,72.3,0.06,67.96
I00000129,O0000072,P0238,2,76.78,0,153.56
I00000130,O0000073,P0113,4,429.53,0.01,1700.94
I00000131,O0000074,P0082,1,14.58,0.01,14.43
I00000132,O0000074,P0045,1,62.03,0,62.03
I00000133,O0000075,P0228,1,62.47,0,62.47
I00000134,O0000076,P0160,2,59.04,0.03,114.54
I00000135,O0000077,P0062,1,4.84,0,4.84
I00000136,O0000077,P0185,1,28.61,0,28.61
I00000137,O0000077,P0050,2,181.74,0,363.48
I00000138,O0000078,P0068,1,12.83,0,12.83
I00000139,O0000078,P0141,1,259.9,0,259.9
I00000140,O0000079,P0200,1,190.64,0,190.64
I00000141,O0000079,P0165,1,39.39,0.17,32.69
I00000142,O0000080,P0181,1,254.45,0.1,229
I00000143,O0000080,P0213,1,105.98,0.08,97.5
I00000144,O0000081,P0060,1,10.56,0,10.56
I00000145,O0000081,P0180,1,85.89,0,85.89
I00000146,O0000081,P0136,1,61.64,0,61.64
I00000147,O0000082,P0150,1,86.71,0.07,80.64
I00000148,O0000082,P0130,1,109.18,0,109.18
I00000149,O0000083,P0100,1,1.6,0.11,1.42
I00000150,O0000083,P0072,1,35.31,0.09,32.13
I00000151,O0000083,P0200,1,197.1,0.17,163.59
I00000152,O0000083,P0129,1,23.22,0.09,21.13
I00000153,O0000084,P0037,1,142.96,0,142.96
I00000154,O0000084,P0136,1,63.99,0.01,63.35
I00000155,O0000084,P0227,1,60.29,0,60.29
I00000156,O0000085,P0238,1,79.9,0.02,78.3
I00000157,O0000085,P0182,1,132.26,0,132.26
I00000158,O0000086,P0149,1,77.71,0.07,72.27
I00000159,O0000087,P0177,1,83.29,0,83.29
I00000160,O0000088,P0019,1,367.37,0.05,349
I00000161,O0000089,P0012,1,182.59,0,182.59
I00000162,O0000090,P0172,1,77.48,0,77.48
I00000163,O0000090,P0079,1,20.77,0,20.77
I00000164,O0000090,P0187,1,224.57,0,224.57
I00000165,O0000091,P0050,1,191.96,0,191.96
I00000166,O0000091,P0235,1,728.65,0,728.65
I00000167,O0000091,P0203,1,69.86,0.03,67.76
I00000168,O0000092,P0125,1,86.85,0.06,81.64
I00000169,O0000093,P0105,1,49.71,0,49.71
I00000170,O0000093,P0080,3,59.64,0.04,171.76
I00000171,O0000093,P0111,1,49.7,0.06,46.72
I00000172,O0000094,P0170,1,75.86,0,75.86
I00000173,O0000094,P0082,1,14.75,0.07,13.72
I00000174,O0000095,P0081,1,9.64,0.13,8.39
I00000175,O0000095,P0092,2,7.68,0.01,15.21
I00000176,O0000096,P0165,1,40.06,0,40.06
I00000177,O0000096,P0183,2,12.33,0.03,23.92
I00000178,O0000096,P0136,1,60.95,0,60.95
I00000179,O0000096,P0118,2,246.88,0.05,469.07
I00000180,O0000096,P0021,1,7.17,0,7.17
I00000181,O0000097,P0175,2,148.63,0,297.26
I00000182,O0000097,P0232,1,11.44,0,11.44
I00000183,O0000097,P0140,1,14.11,0,14.11
I00000184,O0000097,P0053,1,9.68,0.04,9.29
I00000185,O0000098,P0148,1,75.84,0,75.84
I00000186,O0000098,P0165,2,41.2,0.07,76.63
I00000187,O0000099,P0228,1,62.37,0,62.37
I00000188,O0000100,P0112,1,110.03,0,110.03
I00000189,O0000100,P0195,1,550.37,0,550.37
I00000190,O0000101,P0118,1,236.72,0.02,231.99
I00000191,O0000101,P0084,1,36.16,0,36.16
I00000192,O0000102,P0064,1,64.01,0,64.01
I00000193,O0000103,P0011,1,132.55,0,132.55
I00000194,O0000104,P0019,2,381.39,0,762.78
I00000195,O0000104,P0014,1,247.48,0.01,245.01
I00000196,O0000104,P0178,1,3.64,0,3.64
I00000197,O0000105,P0102,1,218.26,0.09,198.62
I00000198,O0000105,P0152,1,387.15,0,387.15
I00000199,O0000105,P0159,1,104.57,0.08,96.2
I00000200,O0000106,P0229,1,28.06,0,28.06
I00000201,O0000106,P0022,1,62.15,0.09,56.56
I00000202,O0000107,P0219,1,180.65,0,180.65
I00000203,O0000107,P0238,2,76.87,0,153.74
I00000204,O0000108,P0005,1,84.81,0,84.81
I00000205,O0000108,P0012,1,185.35,0,185.35
I00000206,O0000108,P0166,1,556.04,0.03,539.36
I00000207,O0000109,P0156,2,26.51,0,53.02
I00000208,O0000110,P0197,1,13.35,0,13.35
I00000209,O0000111,P0173,1,128.28,0,128.28
I00000210,O0000111,P0184,1,97.6,0.08,89.79
I00000211,O0000111,P0217,1,4.17,0,4.17
I00000212,O0000112,P0122,1,410.14,0,410.14
I00000213,O0000112,P0122,1,424.56,0,424.56
I00000214,O0000113,P0183,1,12.44,0,12.44
I00000215,O0000113,P0159,2,107.05,0,214.1
I00000216,O0000114,P0106,1,568.77,0.04,546.02
I00000217,O0000115,P0119,1,52.84,0,52.84
I00000218,O0000116,P0035,1,26.54,0,26.54
I00000219,O0000117,P0010,1,80.98,0,80.98
I00000220,O0000118,P0029,3,23.8,0.13,62.12
I00000221,O0000119,P0036,1,114.28,0,114.28
I00000222,O0000120,P0160,3,55.39,0,166.17
I00000223,O0000120,P0159,2,102.17,0,204.34
I00000224,O0000121,P0017,1,188.4,0,188.4
I00000225,O0000122,P0205,1,108.61,0.04,104.27
I00000226,O0000122,P0190,1,55.55,0,55.55
I00000227,O0000123,P0154,1,99.38,0,99.38
I00000228,O0000123,P0219,1,180.27,0,180.27
I00000229,O0000124,P0087,1,84.37,0,84.37
I00000230,O0000125,P0088,1,64.77,0,64.77
I00000231,O0000125,P0202,1,46.43,0,46.43
I00000232,O0000125,P0052,1,473.83,0.03,459.62
I00000233,O0000126,P0161,1,70.83,0.05,67.29
I00000234,O0000126,P0015,2,294.32,0.06,553.32
I00000235,O0000126,P0173,1,131.77,0,131.77
I00000236,O0000126,P0060,1,11.15,0,11.15
I00000237,O0000126,P0073,1,8,0,8
I00000238,O0000126,P0055,1,104.84,0,104.84
I00000239,O0000127,P0011,1,131.09,0,131.09
I00000240,O0000128,P0008,2,39.34,0,78.68
I00000241,O0000128,P0097,1,9.56,0.06,8.99
I00000242,O0000128,P0086,1,117.73,0,117.73
I00000243,O0000128,P0083,1,78.99,0.06,74.25
I00000244,O0000129,P0151,1,84.75,0.1,76.27
I00000245,O0000129,P0033,1,162.98,0,162.98
I00000246,O0000129,P0133,1,27.45,0.03,26.63
I00000247,O0000129,P0029,1,23.3,0.08,21.44
I00000248,O0000129,P0159,1,106.36,0,106.36
I00000249,O0000130,P0086,2,118.49,0.03,229.87
I00000250,O0000130,P0057,1,37.65,0.02,36.9
I00000251,O0000130,P0229,1,28.85,0.06,27.12
I00000252,O0000130,P0021,1,6.69,0,6.69
I00000253,O0000131,P0138,1,9.98,0,9.98
I00000254,O0000132,P0152,1,375.21,0,375.21
I00000255,O0000132,P0076,1,8.36,0.03,8.11
I00000256,O0000132,P0125,1,88.71,0,88.71
I00000257,O0000132,P0107,1,11.66,0,11.66
I00000258,O0000133,P0153,1,44.98,0.08,41.38
I00000259,O0000134,P0052,1,471.12,0,471.12
I00000260,O0000135,P0112,1,105.81,0,105.81
I00000261,O0000135,P0217,2,4.27,0.06,8.03
I00000262,O0000135,P0123,2,84.69,0.02,165.99
I00000263,O0000135,P0072,1,36.21,0,36.21
I00000264,O0000136,P0022,1,59.65,0,59.65
I00000265,O0000137,P0168,1,76.82,0,76.82
I00000266,O0000137,P0147,1,73.43,0,73.43
I00000267,O0000138,P0089,1,11.45,0,11.45
I00000268,O0000138,P0091,1,46.54,0.06,43.75
I00000269,O0000139,P0016,2,92.56,0,185.12
I00000270,O0000139,P0148,1,78.37,0.01,77.59
I00000271,O0000140,P0236,2,228.93,0.08,421.23
I00000272,O0000140,P0229,1,28.77,0,28.77
I00000273,O0000141,P0093,1,56.82,0,56.82
I00000274,O0000141,P0146,1,34.67,0,34.67
I00000275,O0000142,P0023,1,73.95,0,73.95
I00000276,O0000143,P0068,1,13.7,0.1,12.33
I00000277,O0000143,P0201,2,8.3,0,16.6
I00000278,O0000143,P0184,1,102.76,0.01,101.73
I00000279,O0000143,P0002,2,175.59,0.03,340.64
I00000280,O0000144,P0081,1,10.2,0.04,9.79
I00000281,O0000145,P0168,1,72.89,0,72.89
I00000282,O0000146,P0086,1,122.5,0,122.5
I00000283,O0000146,P0020,1,39.35,0,39.35
I00000284,O0000147,P0064,1,64.67,0.1,58.2
I00000285,O0000147,P0187,1,240.71,0,240.71
I00000286,O0000148,P0158,1,15.31,0,15.31
I00000287,O0000148,P0179,1,359.72,0.01,356.12
I00000288,O0000148,P0190,1,54.36,0,54.36
I00000289,O0000149,P0070,1,83.66,0,83.66
I00000290,O0000149,P0011,1,131.34,0.08,120.83
I00000291,O0000150,P0224,1,36.99,0,36.99
I00000292,O0000151,P0017,2,192.97,0.05,366.64
I00000293,O0000152,P0064,1,65.41,0.05,62.14
I00000294,O0000152,P0147,1,71.43,0,71.43
I00000295,O0000153,P0099,1,103.47,0,103.47
I00000296,O0000153,P0019,1,367.55,0.05,349.17
I00000297,O0000153,P0154,1,96.43,0.03,93.54
I00000298,O0000154,P0121,1,88.36,0.06,83.06
I00000299,O0000155,P0007,1,96.4,0,96.4
I00000300,O0000156,P0127,1,11.61,0,11.61
I00000301,O0000156,P0026,1,26.59,0.04,25.53
I00000302,O0000157,P0152,1,384.26,0,384.26
I00000303,O0000157,P0195,2,538.48,0.02,1055.42
I00000304,O0000157,P0185,1,29.48,0,29.48
I00000305,O0000158,P0143,1,72.77,0.06,68.4
I00000306,O0000158,P0066,1,181.96,0.02,178.32
I00000307,O0000159,P0041,2,90.46,0,180.92
I00000308,O0000159,P0145,1,17.34,0.05,16.47
I00000309,O0000160,P0209,1,70.14,0,70.14
I00000310,O0000161,P0143,1,73.81,0.07,68.64
I00000311,O0000161,P0007,1,96.56,0,96.56
I00000312,O0000162,P0017,1,185.38,0,185.38
I00000313,O0000163,P0183,1,12.42,0,12.42
I00000314,O0000163,P0048,2,31.59,0,63.18
I00000315,O0000163,P0124,1,15.27,0.03,14.81
I00000316,O0000163,P0173,1,130.48,0,130.48
I00000317,O0000163,P0119,1,53.85,0,53.85
I00000318,O0000164,P0212,1,84.02,0,84.02
I00000319,O0000164,P0058,1,37.59,0.07,34.96
I00000320,O0000165,P0076,1,8.5,0.09,7.73
I00000321,O0000166,P0153,1,47.83,0,47.83
I00000322,O0000167,P0041,1,86.82,0,86.82
I00000323,O0000167,P0093,3,55.07,0.02,161.91
I00000324,O0000168,P0065,1,594.2,0,594.2
I00000325,O0000169,P0089,1,11.48,0.08,10.56
I00000326,O0000170,P0218,1,18.43,0.01,18.25
I00000327,O0000171,P0095,1,36.31,0,36.31
I00000328,O0000172,P0153,2,46.74,0,93.48
I00000329,O0000173,P0199,1,238.51,0,238.51
I00000330,O0000173,P0110,1,824.46,0.01,816.22
I00000331,O0000174,P0166,1,542.34,0,542.34
I00000332,O0000174,P0203,1,70.15,0.06,65.94
I00000333,O0000175,P0214,1,36.48,0,36.48
I00000334,O0000175,P0124,1,15.1,0,15.1
I00000335,O0000175,P0155,1,28.67,0.03,27.81
I00000336,O0000176,P0063,1,726.36,0,726.36
I00000337,O0000176,P0021,1,6.91,0,6.91
I00000338,O0000177,P0240,1,99.34,0,99.34
I00000339,O0000177,P0100,2,1.68,0.04,3.23
I00000340,O0000178,P0096,2,100.26,0,200.52
I00000341,O0000179,P0231,1,36.71,0.1,33.04
I00000342,O0000180,P0091,1,47.03,0.06,44.21
I00000343,O0000181,P0148,2,74.92,0.08,137.85
I00000344,O0000181,P0130,1,109.39,0,109.39
I00000345,O0000182,P0056,1,143.62,0,143.62
I00000346,O0000182,P0223,1,87.05,0,87.05
I00000347,O0000182,P0153,1,46.52,0.02,45.59
I00000348,O0000182,P0028,1,333.22,0.01,329.89
I00000349,O0000183,P0163,1,125.47,0.09,114.18
I00000350,O0000183,P0185,1,29.38,0,29.38
I00000351,O0000183,P0102,1,222.95,0,222.95
I00000352,O0000184,P0127,1,11.17,0.06,10.5
I00000353,O0000184,P0083,1,82.61,0,82.61
I00000354,O0000185,P0128,1,657.59,0.05,624.71
I00000355,O0000185,P0078,1,85.64,0,85.64
I00000356,O0000185,P0100,1,1.71,0.03,1.66
I00000357,O0000185,P0052,1,504.72,0.1,454.25
I00000358,O0000186,P0088,2,65.37,0,130.74
I00000359,O0000186,P0213,2,109.11,0.03,211.67
I00000360,O0000186,P0069,2,78.34,0.1,141.01
I00000361,O0000187,P0171,1,12.85,0,12.85
I00000362,O0000188,P0229,1,29.09,0.04,27.93
I00000363,O0000188,P0188,1,58.86,0,58.86
I00000364,O0000189,P0009,1,63.41,0.02,62.14
I00000365,O0000190,P0037,2,140.31,0,280.62
I00000366,O0000190,P0037,1,139.35,0.07,129.6
I00000367,O0000191,P0092,2,7.75,0,15.5
I00000368,O0000192,P0179,3,371.26,0.09,1013.54
I00000369,O0000192,P0109,1,81.69,0,81.69
I00000370,O0000192,P0002,1,186.45,0.09,169.67
I00000371,O0000193,P0069,1,82.22,0,82.22
I00000372,O0000193,P0028,1,327.01,0,327.01
I00000373,O0000194,P0096,2,98.39,0,196.78
I00000374,O0000195,P0168,1,74.61,0,74.61
I00000375,O0000195,P0185,1,27.91,0,27.91
I00000376,O0000195,P0040,1,27.65,0.09,25.16
I00000377,O0000195,P0050,1,188.77,0,188.77
I00000378,O0000195,P0170,1,75.87,0,75.87
I00000379,O0000196,P0008,2,41.4,0,82.8
I00000380,O0000197,P0148,1,76.03,0,76.03
I00000381,O0000197,P0233,2,92.24,0,184.48
I00000382,O0000197,P0219,1,178.18,0,178.18
I00000383,O0000197,P0214,1,37.44,0.05,35.57
I00000384,O0000197,P0170,1,76.76,0.08,70.62
I00000385,O0000198,P0110,1,782.73,0,782.73
I00000386,O0000199,P0213,1,102.21,0,102.21
I00000387,O0000199,P0121,2,90.26,0,180.52
I00000388,O0000200,P0025,2,16.3,0,32.6
I00000389,O0000200,P0141,1,240.61,0,240.61
I00000390,O0000201,P0181,1,268.03,0,268.03
I00000391,O0000201,P0182,1,131.72,0,131.72
I00000392,O0000201,P0090,2,25.72,0,51.44
I00000393,O0000201,P0021,1,6.73,0,6.73
I00000394,O0000202,P0034,2,28.83,0,57.66
I00000395,O0000202,P0012,1,191.02,0,191.02
I00000396,O0000203,P0219,1,171.61,0,171.61
I00000397,O0000203,P0096,1,96.77,0,96.77
I00000398,O0000204,P0005,1,90.2,0.02,88.4
I00000399,O0000205,P0093,1,56.1,0,56.1
I00000400,O0000205,P0230,1,224.1,0.08,206.17
I00000401,O0000205,P0206,1,56.22,0,56.22
I00000402,O0000206,P0232,1,11.42,0,11.42
I00000403,O0000206,P0217,1,4.08,0.06,3.84
I00000404,O0000207,P0155,1,29.56,0,29.56
I00000405,O0000207,P0079,1,20.45,0.07,19.02
I00000406,O0000208,P0033,1,170.84,0.17,141.8
I00000407,O0000209,P0118,2,247.37,0,494.74
I00000408,O0000210,P0063,1,730.66,0.16,613.75
I00000409,O0000210,P0075,1,12.86,0,12.86
I00000410,O0000211,P0039,1,18.16,0,18.16
I00000411,O0000212,P0232,1,11.87,0,11.87
I00000412,O0000213,P0201,1,7.99,0.11,7.11
I00000413,O0000214,P0194,1,45.66,0.17,37.9
I00000414,O0000215,P0097,1,9.47,0,9.47
I00000415,O0000216,P0108,2,290.97,0.05,552.84
I00000416,O0000216,P0162,1,107.97,0.03,104.73
I00000417,O0000216,P0116,1,69.61,0,69.61
I00000418,O0000217,P0106,1,613.25,0.1,551.92
I00000419,O0000217,P0044,1,39.35,0,39.35
I00000420,O0000217,P0188,1,56.9,0.08,52.35
I00000421,O0000217,P0169,1,58.51,0.07,54.41
I00000422,O0000217,P0083,1,77.69,0,77.69
I00000423,O0000218,P0185,1,28.62,0,28.62
I00000424,O0000218,P0162,1,103.45,0.06,97.24
I00000425,O0000218,P0019,1,373.47,0.02,366
I00000426,O0000218,P0109,1,87.41,0,87.41
I00000427,O0000218,P0214,1,37.87,0,37.87
I00000428,O0000219,P0020,1,39.74,0,39.74
I00000429,O0000219,P0159,1,104.57,0.07,97.25
I00000430,O0000220,P0057,2,37.97,0,75.94
I00000431,O0000221,P0178,1,3.44,0.09,3.13
I00000432,O0000222,P0145,1,17.44,0,17.44
I00000433,O0000223,P0010,1,83.7,0,83.7
I00000434,O0000224,P0029,1,23.6,0,23.6
I00000435,O0000224,P0198,1,60.99,0.09,55.5
I00000436,O0000225,P0007,3,91.65,0,274.95
I00000437,O0000225,P0111,1,47.83,0.13,41.61
I00000438,O0000225,P0108,1,293.15,0.06,275.56
I00000439,O0000225,P0038,1,69.96,0.05,66.46
I00000440,O0000226,P0036,1,113.07,0,113.07
I00000441,O0000227,P0144,1,546.68,0.08,502.95
I00000442,O0000228,P0096,1,94.16,0.02,92.28
I00000443,O0000228,P0033,1,165.53,0,165.53
I00000444,O0000228,P0104,1,20.54,0.04,19.72
I00000445,O0000229,P0064,1,62.92,0.06,59.14
I00000446,O0000230,P0049,1,81.98,0,81.98
I00000447,O0000231,P0022,1,63.25,0,63.25
I00000448,O0000231,P0232,1,11.79,0.08,10.85
I00000449,O0000232,P0172,1,78.7,0,78.7
I00000450,O0000232,P0169,1,57.75,0.09,52.55
I00000451,O0000232,P0027,1,89.25,0.02,87.46
I00000452,O0000232,P0153,2,46.7,0,93.4
I00000453,O0000232,P0058,1,37.19,0,37.19
I00000454,O0000232,P0161,1,71.13,0,71.13
I00000455,O0000233,P0187,1,225.46,0.04,216.44
I00000456,O0000233,P0230,1,232.56,0,232.56
I00000457,O0000233,P0123,1,86.77,0,86.77
I00000458,O0000234,P0129,1,22.63,0.05,21.5
I00000459,O0000234,P0107,1,11.78,0,11.78
I00000460,O0000235,P0053,2,9.48,0,18.96
I00000461,O0000235,P0087,1,82.09,0.05,77.99
I00000462,O0000236,P0143,1,74.27,0,74.27
I00000463,O0000236,P0161,3,73.13,0,219.39
I00000464,O0000237,P0117,3,42.88,0,128.64
I00000465,O0000238,P0102,2,209.27,0.15,355.76
I00000466,O0000239,P0182,2,127.12,0,254.24
I00000467,O0000239,P0212,1,82.08,0.01,81.26
I00000468,O0000239,P0133,1,28.29,0,28.29
I00000469,O0000240,P0158,2,16.35,0.05,31.06
I00000470,O0000240,P0140,1,13.98,0,13.98
I00000471,O0000240,P0149,1,79.18,0.03,76.8
I00000472,O0000240,P0179,2,356.26,0,712.52
I00000473,O0000240,P0139,1,131.78,0.07,122.56
I00000474,O0000241,P0133,1,28.34,0,28.34
I00000475,O0000241,P0057,1,36.62,0,36.62
I00000476,O0000242,P0091,1,47.26,0,47.26
I00000477,O0000242,P0089,2,12.04,0,24.08
I00000478,O0000243,P0128,1,683.13,0.17,567
I00000479,O0000244,P0166,1,548.67,0,548.67
I00000480,O0000245,P0143,1,71.35,0,71.35
I00000481,O0000246,P0137,1,734.73,0.05,697.99
I00000482,O0000247,P0235,1,752.05,0,752.05
I00000483,O0000247,P0163,1,127.27,0,127.27
I00000484,O0000247,P0046,1,6.42,0,6.42
I00000485,O0000248,P0198,2,58.93,0,117.86
I00000486,O0000249,P0030,1,65.79,0,65.79
I00000487,O0000250,P0153,2,47.63,0,95.26
I00000488,O0000250,P0227,1,61.28,0,61.28
I00000489,O0000250,P0150,2,80.62,0,161.24
I00000490,O0000250,P0146,1,35.03,0.09,31.88
I00000491,O0000250,P0080,1,58.72,0.02,57.55
I00000492,O0000251,P0116,1,69.65,0,69.65
I00000493,O0000252,P0200,1,201.62,0,201.62
I00000494,O0000253,P0186,2,57.12,0,114.24
I00000495,O0000254,P0158,2,15.3,0,30.6
I00000496,O0000255,P0221,1,5.63,0.1,5.07
I00000497,O0000256,P0198,1,60.65,0,60.65
I00000498,O0000256,P0034,1,27.04,0,27.04
I00000499,O0000256,P0126,2,208.11,0.1,374.6
I00000500,O0000256,P0172,1,79.41,0,79.41
I00000501,O0000257,P0039,1,18.26,0.06,17.16
I00000502,O0000258,P0060,1,10.5,0.09,9.55
I00000503,O0000259,P0083,2,78.55,0,157.1
I00000504,O0000260,P0196,2,120.17,0,240.34
I00000505,O0000260,P0214,1,36.53,0,36.53
I00000506,O0000260,P0064,1,66.04,0,66.04
I00000507,O0000260,P0171,1,12.58,0,12.58
I00000508,O0000260,P0230,2,230.33,0.05,437.63
I00000509,O0000261,P0151,2,82.74,0,165.48
I00000510,O0000262,P0135,1,125.11,0,125.11
I00000511,O0000263,P0121,1,89.15,0,89.15
I00000512,O0000264,P0001,1,125.51,0.02,123
I00000513,O0000265,P0136,1,59.51,0,59.51
I00000514,O0000265,P0116,4,73.03,0,292.12
I00000515,O0000266,P0026,1,27.3,0,27.3
I00000516,O0000267,P0230,2,226.23,0,452.46
I00000517,O0000267,P0140,2,13.7,0.04,26.3
I00000518,O0000268,P0213,1,101.53,0,101.53
I00000519,O0000268,P0202,1,43.36,0.04,41.63
I00000520,O0000269,P0077,1,136.57,0.07,127.01
I00000521,O0000270,P0041,4,88.86,0.1,319.9
