return_id,order_id,order_item_id,return_date,return_reason,refund_amount_eur,return_status
R0000121,O0001413,I00002820,2025-06-01,damaged,14.1,approved
R0000122,O0001441,I00002878,2023-03-20,damaged,49.43,approved
R0000123,O0001459,I00002912,2023-04-14,wrong_size,79.77,approved
R0000124,O0001461,I00002914,2023-12-15,damaged,11.56,approved
R0000125,O0001478,I00002941,2024-03-16,not_as_expected,66.5,approved
R0000126,O0001516,I00003028,2025-12-06,damaged,11.5,approved
R0000127,O0001522,I00003041,2024-02-15,not_as_expected,100.23,approved
R0000128,O0001535,I00003062,2025-04-04,late_delivery,193.64,approved
R0000129,O0001536,I00003064,2024-12-16,not_as_expected,10.23,approved
R0000130,O0001553,I00003095,2024-07-24,damaged,41.78,rejected
R0000131,O0001568,I00003123,2025-02-25,wrong_size,59.35,approved
R0000132,O0001573,I00003129,2023-07-11,changed_mind,7.41,approved
R0000133,O0001575,I00003132,2025-01-04,not_as_expected,47.41,approved
R0000134,O0001604,I00003194,2025-11-13,late_delivery,94.89,rejected
R0000135,O0001615,I00003221,2023-09-07,not_as_expected,68.36,approved
R0000136,O0001621,I00003234,2024-12-06,changed_mind,8.11,approved
R0000137,O0001633,I00003263,2023-10-08,changed_mind,63.88,approved
R0000138,O0001675,I00003336,2024-02-02,changed_mind,36.74,approved
R0000139,O0001708,I00003410,2025-12-21,not_as_expected,81.5,approved
R0000140,O0001722,I00003442,2025-07-09,late_delivery,45.45,approved
R0000141,O0001739,I00003475,2025-09-11,wrong_size,24.2,approved
R0000142,O0001751,I00003497,2024-04-08,late_delivery,41.93,approved
R0000143,O0001756,I00003511,2024-03-08,not_as_expected,497.47,approved
R0000144,O0001757,I00003512,2023-03-21,damaged,41.9,approved
R0000145,O0001771,I00003547,2024-02-22,changed_mind,66.64,approved
R0000146,O0001772,I00003548,2024-07-13,not_as_expected,93.38,approved
R0000147,O0001779,I00003562,2023-10-20,changed_mind,338.04,approved
R0000148,O0001780,I00003565,2025-05-30,late_delivery,52.66,approved
R0000149,O0001784,I00003574,2024-07-04,wrong_size,35.12,approved
R0000150,O0001800,I00003604,2025-05-07,not_as_expected,61.96,approved
R0000151,O0001808,I00003626,2024-09-09,damaged,26.94,approved
R0000152,O0001809,I00003627,2024-08-27,not_as_expected,72.95,approved
R0000153,O0001826,I00003657,2024-10-29,damaged,161.92,rejected
R0000154,O0001832,I00003668,2025-12-17,not_as_expected,134.39,approved
R0000155,O0001845,I00003695,2024-05-19,changed_mind,90.3,approved
R0000156,O0001884,I00003764,2025-12-15,damaged,45.68,approved
R0000157,O0001890,I00003774,2023-02-11,wrong_size,62.29,approved
R0000158,O0001928,I00003841,2026-01-15,damaged,4,approved
R0000159,O0001945,I00003876,2023-03-10,damaged,212,approved
R0000160,O0001952,I00003890,2024-02-19,damaged,303.9,approved
R0000161,O0001958,I00003906,2024-10-06,damaged,70.95,approved
R0000162,O0001961,I00003912,2025-05-06,damaged,583.55,approved
R0000163,O0002016,I00004016,2024-05-15,damaged,10.25,approved
R0000164,O0002028,I00004036,2025-08-17,not_as_expected,81.96,approved
R0000165,O0002035,I00004049,2023-10-07,damaged,190.91,approved
R0000166,O0002084,I00004127,2024-03-21,wrong_size,132.96,approved
R0000167,O0002085,I00004128,2024-07-31,not_as_expected,5.85,rejected
R0000168,O0002103,I00004161,2025-10-27,late_delivery,62.58,approved
R0000169,O0002109,I00004173,2024-06-25,damaged,6.12,approved
R0000170,O0002124,I00004206,2025-07-02,damaged,81.4,approved
R0000171,O0002131,I00004220,2023-12-06,damaged,10.79,approved
R0000172,O0002133,I00004226,2023-04-05,not_as_expected,3.11,approved
R0000173,O0002148,I00004258,2025-01-26,changed_mind,522.1,approved
R0000174,O0002162,I00004278,2025-12-28,not_as_expected,67.07,approved
R0000175,O0002164,I00004287,2023-10-29,changed_mind,79.76,approved
R0000176,O0002177,I00004309,2023-04-29,damaged,99.76,approved
R0000177,O0002189,I00004334,2023-07-10,late_delivery,46.3,approved
R0000178,O0002232,I00004441,2025-03-05,not_as_expected,100.76,approved
R0000179,O0002274,I00004518,2025-12-31,not_as_expected,8.45,approved
R0000180,O0002292,I00004550,2024-12-05,damaged,137.13,approved
R0000181,O0002293,I00004552,2025-05-18,wrong_size,9.81,rejected
R0000182,O0002325,I00004619,2023-12-28,late_delivery,40.12,rejected
R0000183,O0002343,I00004653,2023-07-14,not_as_expected,67.38,approved
R0000184,O0002354,I00004673,2023-11-06,late_delivery,36.4,rejected
R0000185,O0002370,I00004705,2024-11-15,damaged,11.96,approved
R0000186,O0002372,I00004708,2025-08-21,changed_mind,46.24,approved
R0000187,O0002379,I00004720,2025-04-04,late_delivery,51,approved
R0000188,O0002394,I00004752,2023-03-02,not_as_expected,42.64,approved
R0000189,O0002402,I00004768,2025-12-01,late_delivery,86.77,approved
R0000190,O0002408,I00004780,2024-05-29,not_as_expected,264.2,approved
R0000191,O0002423,I00004805,2023-09-09,changed_mind,263.48,approved
R0000192,O0002426,I00004809,2024-08-04,changed_mind,10.7,approved
R0000193,O0002445,I00004854,2025-11-10,wrong_size,99.09,approved
R0000194,O0002448,I00004858,2023-01-21,late_delivery,62.26,approved
R0000195,O0002474,I00004907,2024-05-28,not_as_expected,19.35,approved
R0000196,O0002485,I00004928,2024-09-26,not_as_expected,1.55,approved
R0000197,O0002487,I00004930,2023-01-31,changed_mind,36.11,approved
R0000198,O0002499,I00004954,2023-03-02,damaged,9.81,approved
R0000199,O0002523,I00005011,2025-05-10,not_as_expected,43.42,approved
R0000200,O0002545,I00005047,2025-10-19,wrong_size,55.84,approved
R0000201,O0002550,I00005059,2023-07-23,damaged,285.81,approved
R0000202,O0002554,I00005067,2025-12-28,changed_mind,133.5,rejected
R0000203,O0002597,I00005149,2023-12-02,late_delivery,270.75,approved
R0000204,O0002598,I00005153,2023-04-16,late_delivery,186.07,approved
R0000205,O0002604,I00005164,2023-12-30,not_as_expected,27.01,approved
R0000206,O0002653,I00005262,2024-02-28,wrong_size,57.46,approved
R0000207,O0002665,I00005283,2024-12-24,late_delivery,66.94,approved
R0000208,O0002669,I00005288,2023-04-27,late_delivery,74.27,approved
R0000209,O0002685,I00005316,2025-10-26,wrong_size,80.46,approved
R0000210,O0002686,I00005319,2023-09-14,changed_mind,151.86,approved
R0000211,O0002742,I00005429,2024-12-04,late_delivery,60.54,approved
R0000212,O0002781,I00005499,2025-06-09,not_as_expected,174.74,approved
R0000213,O0002785,I00005506,2024-12-12,late_delivery,81.24,approved
R0000214,O0002809,I00005554,2024-11-04,not_as_expected,660.23,approved
R0000215,O0002818,I00005576,2025-01-06,damaged,5.01,approved
R0000216,O0002830,I00005604,2024-08-31,not_as_expected,329.26,approved
R0000217,O0002839,I00005620,2025-08-03,not_as_expected,90.58,approved
R0000218,O0002857,I00005665,2023-06-23,late_delivery,7.97,approved
R0000219,O0002861,I00005674,2024-04-21,changed_mind,71.12,rejected
R0000220,O0002867,I00005687,2023-06-01,not_as_expected,68.65,approved
R0000221,O0002868,I00005692,2025-09-30,changed_mind,104.03,approved
R0000222,O0002894,I00005738,2024-05-20,wrong_size,213.47,approved
R0000223,O0002902,I00005760,2024-01-07,wrong_size,110.32,approved
R0000224,O0002908,I00005774,2024-06-19,not_as_expected,17.56,approved
R0000225,O0002911,I00005778,2025-11-29,not_as_expected,3.88,approved
R0000226,O0002918,I00005788,2024-11-03,not_as_expected,13.27,approved
R0000227,O0002927,I00005811,2024-07-12,not_as_expected,131.69,approved
R0000228,O0002943,I00005838,2024-04-17,late_delivery,102.54,approved
R0000229,O0002957,I00005866,2025-07-05,wrong_size,687.05,rejected
R0000230,O0002968,I00005889,2025-03-07,damaged,117.32,approved
R0000231,O0003004,I00005948,2024-05-16,not_as_expected,103.2,approved
R0000232,O0003036,I00006012,2023-11-06,wrong_size,19.7,approved
R0000233,O0003055,I00006049,2023-08-12,damaged,37.65,approved
R0000234,O0003065,I00006071,2023-08-13,damaged,630.55,approved
R0000235,O0003093,I00006127,2023-11-14,not_as_expected,403.48,approved
R0000236,O0003125,I00006187,2025-06-27,not_as_expected,10.66,approved
R0000237,O0003140,I00006215,2023-05-30,late_delivery,86.28,approved
R0000238,O0003163,I00006260,2025-01-03,late_delivery,47.72,rejected
R0000239,O0003166,I00006263,2023-11-14,damaged,312.33,approved
R0000240,O0003170,I00006270,2023-11-08,changed_mind,11.46,approved
R0000241,O0003211,I00006354,2025-06-24,wrong_size,9.8,approved
R0000242,O0003218,I00006372,2023-04-04,changed_mind,70.6,approved
R0000243,O0003221,I00006379,2023-08-17,changed_mind,89.99,approved
R0000244,O0003227,I00006391,2025-11-10,not_as_expected,46.38,approved
R0000245,O0003230,I00006395,2023-11-20,changed_mind,759.41,approved
R0000246,O0003266,I00006476,2025-07-11,damaged,52.32,approved
R0000247,O0003269,I00006482,2024-01-23,late_delivery,334.81,rejected
R0000248,O0003293,I00006526,2025-02-18,damaged,74.61,approved
R0000249,O0003296,I00006533,2026-01-01,late_delivery,69.74,approved
R0000250,O0003302,I00006546,2024-01-21,late_delivery,192.98,approved
R0000251,O0003321,I00006582,2023-02-14,changed_mind,5.05,approved
R0000252,O0003326,I00006594,2024-11-20,damaged,86.32,approved
R0000253,O0003327,I00006595,2023-12-18,wrong_size,43.99,approved
R0000254,O0003348,I00006640,2023-04-03,not_as_expected,71.19,approved
R0000255,O0003382,I00006700,2025-02-14,not_as_expected,14.05,approved
R0000256,O0003384,I00006708,2024-05-04,damaged,1174.66,rejected
R0000257,O0003393,I00006723,2024-12-11,damaged,54.65,approved
R0000258,O0003402,I00006740,2025-08-04,damaged,135.83,approved
R0000259,O0003429,I00006800,2024-03-23,wrong_size,53.26,approved
R0000260,O0003444,I00006831,2023-08-05,not_as_expected,72.86,approved
R0000261,O0003449,I00006838,2026-01-11,changed_mind,57.4,approved
R0000262,O0003457,I00006855,2025-04-22,damaged,175.56,approved
R0000263,O0003465,I00006876,2026-01-12,damaged,14.7,approved
R0000264,O0003480,I00006912,2024-01-02,late_delivery,399.36,approved
R0000265,O0003487,I00006929,2024-06-16,not_as_expected,53.91,approved
R0000266,O0003489,I00006932,2024-12-12,changed_mind,7.13,approved
R0000267,O0003507,I00006968,2023-05-01,changed_mind,99.79,approved
R0000268,O0003532,I00007018,2024-01-29,changed_mind,70.93,approved
R0000269,O0003539,I00007036,2025-06-23,late_delivery,98.1,approved
R0000270,O0003544,I00007046,2025-11-20,wrong_size,147.66,approved
R0000271,O0003559,I00007079,2023-05-22,changed_mind,94.13,rejected
R0000272,O0003567,I00007092,2024-03-29,damaged,199.68,approved
R0000273,O0003578,I00007114,2025-12-21,changed_mind,344.36,approved
R0000274,O0003585,I00007129,2023-12-12,changed_mind,83.11,approved
R0000275,O0003586,I00007131,2025-05-15,damaged,70.45,approved
R0000276,O0003605,I00007178,2024-01-14,not_as_expected,96.87,approved
R0000277,O0003626,I00007221,2023-06-13,not_as_expected,13.37,approved
R0000278,O0003693,I00007371,2025-10-05,changed_mind,165.37,approved
R0000279,O0003701,I00007387,2024-07-10,not_as_expected,81.61,approved
R0000280,O0003718,I00007426,2023-11-22,wrong_size,73.56,approved
R0000281,O0003719,I00007428,2024-04-05,changed_mind,113.98,approved
R0000282,O0003721,I00007430,2023-08-23,not_as_expected,89.18,approved
R0000283,O0003722,I00007431,2024-08-08,changed_mind,182.58,approved
R0000284,O0003724,I00007434,2023-07-28,changed_mind,37.86,approved
R0000285,O0003728,I00007440,2025-08-19,damaged,79.17,approved
R0000286,O0003732,I00007451,2023-12-10,wrong_size,35.55,approved
R0000287,O0003740,I00007464,2024-08-26,wrong_size,71.74,approved
R0000288,O0003742,I00007466,2024-03-14,not_as_expected,5.42,approved
R0000289,O0003749,I00007480,2023-04-09,not_as_expected,47.7,approved
R0000290,O0003751,I00007484,2023-06-13,damaged,204.21,approved
R0000291,O0003784,I00007547,2025-12-11,wrong_size,770.58,approved
R0000292,O0003787,I00007551,2023-10-04,late_delivery,237.39,approved
R0000293,O0003789,I00007554,2024-09-17,damaged,101.43,rejected
R0000294,O0003795,I00007564,2024-12-16,wrong_size,184.75,approved
R0000295,O0003809,I00007591,2023-04-18,wrong_size,200.56,rejected
R0000296,O0003811,I00007595,2024-02-26,not_as_expected,71.19,rejected
R0000297,O0003812,I00007596,2024-01-08,changed_mind,76.9,approved
R0000298,O0003818,I00007606,2023-09-29,not_as_expected,17.92,approved
R0000299,O0003822,I00007620,2026-01-27,changed_mind,53.44,approved
R0000300,O0003828,I00007635,2024-04-28,not_as_expected,226.65,approved
R0000301,O0003842,I00007667,2024-11-28,wrong_size,122.04,approved
R0000302,O0003847,I00007677,2024-11-04,late_delivery,51.76,approved
R0000303,O0003850,I00007683,2025-12-22,not_as_expected,78.97,rejected
R0000304,O0003856,I00007695,2026-01-17,not_as_expected,72.49,approved
R0000305,O0003858,I00007701,2025-03-12,damaged,8.03,approved
R0000306,O0003864,I00007708,2025-12-05,not_as_expected,131.22,rejected
R0000307,O0003878,I00007746,2024-06-21,not_as_expected,120.4,rejected
R0000308,O0003914,I00007808,2024-04-08,late_delivery,5.2,approved
R0000309,O0003920,I00007816,2025-01-12,wrong_size,16.98,rejected
R0000310,O0003944,I00007877,2025-01-21,damaged,35.71,approved
R0000311,O0003956,I00007908,2024-09-16,not_as_expected,58.17,approved
R0000312,O0003971,I00007935,2023-05-17,damaged,48.16,approved
R0000313,O0003984,I00007964,2023-02-08,damaged,61.97,approved
R0000314,O0004005,I00008006,2025-01-03,wrong_size,31.81,approved
R0000315,O0004037,I00008072,2024-07-03,late_delivery,53.1,approved
R0000316,O0004126,I00008243,2025-06-25,not_as_expected,27.57,approved
R0000317,O0004194,I00008373,2024-12-15,not_as_expected,467.6,approved
R0000318,O0004204,I00008398,2023-05-08,not_as_expected,82.44,approved
R0000319,O0004217,I00008423,2023-05-22,changed_mind,46.29,approved
R0000320,O0004233,I00008458,2025-08-24,wrong_size,76.74,approved
R0000321,O0004234,I00008462,2026-01-10,changed_mind,11.05,approved
R0000322,O0004238,I00008469,2023-12-11,late_delivery,123.92,rejected
R0000323,O0004248,I00008483,2024-09-01,wrong_size,37.92,approved
R0000324,O0004251,I00008492,2023-04-14,changed_mind,197.95,rejected
R0000325,O0004274,I00008534,2025-10-03,wrong_size,92.53,approved
R0000326,O0004277,I00008539,2024-07-16,wrong_size,91.85,approved
R0000327,O0004282,I00008549,2025-02-15,wrong_size,88.13,approved
R0000328,O0004302,I00008583,2024-03-15,wrong_size,76.86,approved
R0000329,O0004336,I00008640,2024-02-23,changed_mind,53.91,approved
R0000330,O0004341,I00008648,2023-08-17,not_as_expected,39.43,approved
R0000331,O0004342,I00008649,2025-10-04,late_delivery,93.54,rejected
R0000332,O0004360,I00008684,2023-02-26,wrong_size,264.5,approved
R0000333,O0004381,I00008733,2023-03-15,wrong_size,39.23,approved
R0000334,O0004387,I00008748,2024-11-27,late_delivery,63.49,approved
R0000335,O0004391,I00008757,2024-04-22,not_as_expected,30.88,approved
R0000336,O0004399,I00008771,2024-01-11,damaged,98.84,approved
R0000337,O0004420,I00008812,2023-02-24,damaged,36.34,approved
R0000338,O0004424,I00008824,2025-02-25,changed_mind,367.47,approved
R0000339,O0004428,I00008830,2025-09-25,damaged,141.24,approved
R0000340,O0004451,I00008869,2025-07-07,late_delivery,27.06,approved
R0000341,O0004511,I00008992,2023-07-04,wrong_size,10.88,approved
R0000342,O0004527,I00009019,2024-03-04,not_as_expected,28.3,approved
R0000343,O0004543,I00009048,2025-04-13,not_as_expected,330,rejected
R0000344,O0004573,I00009104,2024-10-07,wrong_size,112.33,approved
R0000345,O0004587,I00009126,2024-05-18,not_as_expected,4.76,approved
R0000346,O0004608,I00009162,2024-09-06,not_as_expected,28.54,approved
R0000347,O0004644,I00009229,2024-12-26,changed_mind,79.64,approved
R0000348,O0004652,I00009249,2025-02-24,wrong_size,13.19,approved
R0000349,O0004659,I00009261,2025-06-21,wrong_size,60.71,approved
R0000350,O0004669,I00009282,2025-11-10,not_as_expected,5.16,approved
R0000351,O0004671,I00009285,2024-12-22,not_as_expected,48.57,approved
R0000352,O0004687,I00009310,2024-12-14,wrong_size,80.7,approved
R0000353,O0004688,I00009312,2023-04-26,wrong_size,84.17,rejected
R0000354,O0004712,I00009359,2023-12-04,wrong_size,70.06,approved
R0000355,O0004738,I00009415,2024-11-30,damaged,15.74,approved
R0000356,O0004744,I00009433,2024-01-25,damaged,9.83,approved
R0000357,O0004751,I00009448,2023-02-18,late_delivery,9.96,approved
R0000358,O0004773,I00009490,2023-12-03,not_as_expected,97.32,approved
R0000359,O0004777,I00009499,2025-03-01,damaged,107.88,rejected
R0000360,O0004781,I00009505,2023-09-27,wrong_size,42.21,approved
R0000361,O0004792,I00009530,2023-02-04,damaged,333.91,rejected
R0000362,O0004803,I00009547,2024-08-25,damaged,424.95,approved
R0000363,O0004821,I00009586,2023-05-16,changed_mind,164.26,approved
R0000364,O0004838,I00009632,2024-11-30,not_as_expected,13.51,approved
R0000365,O0004841,I00009638,2023-12-04,wrong_size,8.38,approved
R0000366,O0004849,I00009657,2023-10-27,damaged,6.21,approved
R0000367,O0004861,I00009677,2026-01-06,damaged,9.47,approved
R0000368,O0004880,I00009710,2025-03-14,wrong_size,63.39,approved
R0000369,O0004882,I00009713,2023-02-13,not_as_expected,8.2,approved
R0000370,O0004907,I00009754,2023-02-19,wrong_size,23.19,rejected
R0000371,O0004921,I00009778,2025-02-11,not_as_expected,371.71,approved
R0000372,O0004985,I00009901,2023-06-10,not_as_expected,78.34,approved
R0000373,O0004988,I00009908,2024-11-25,wrong_size,9.48,approved
R0000374,O0004989,I00009909,2025-10-18,damaged,105.35,approved
R0000375,O0005006,I00009945,2024-04-06,damaged,14.12,approved
R0000376,O0005021,I00009981,2024-07-03,changed_mind,130.99,approved
R0000377,O0005026,I00009990,2024-04-02,late_delivery,739.44,approved
R0000378,O0005033,I00010007,2025-09-12,damaged,243.51,approved
R0000379,O0005061,I00010060,2025-06-29,damaged,14.65,approved
R0000380,O0005065,I00010066,2025-11-02,changed_mind,51.73,approved
R0000381,O0005066,I00010067,2025-08-12,damaged,241.4,approved
R0000382,O0005083,I00010097,2025-07-05,changed_mind,87.08,approved
R0000383,O0005108,I00010145,2025-04-06,damaged,63.05,approved
R0000384,O0005114,I00010156,2025-12-05,changed_mind,123.31,rejected
R0000385,O0005146,I00010221,2024-06-04,damaged,195.62,approved
R0000386,O0005159,I00010252,2023-04-04,changed_mind,432.3,approved
R0000387,O0005163,I00010260,2024-12-07,damaged,58.76,approved
R0000388,O0005173,I00010286,2025-06-10,changed_mind,324.86,approved
R0000389,O0005185,I00010307,2023-07-01,changed_mind,507.46,approved
R0000390,O0005222,I00010388,2023-12-22,damaged,47.48,approved
R0000391,O0005228,I00010399,2024-08-14,not_as_expected,118.16,rejected
R0000392,O0005229,I00010400,2023-04-09,not_as_expected,9.52,approved
R0000393,O0005235,I00010415,2026-01-10,wrong_size,41.46,approved
R0000394,O0005255,I00010452,2024-10-12,late_delivery,12.39,rejected
R0000395,O0005270,I00010494,2026-01-03,not_as_expected,26.56,approved
R0000396,O0005273,I00010503,2025-04-08,not_as_expected,534.79,approved
R0000397,O0005282,I00010523,2024-03-05,changed_mind,7.09,approved
R0000398,O0005285,I00010527,2024-10-06,wrong_size,234.09,approved
R0000399,O0005315,I00010593,2025-12-20,late_delivery,238.35,approved
